;district;area;SUM(ed.qty);subcat_name;pincode
27;Thiruvananthapuram;2200;100.0;Cement;695024.0
74;Thiruvananthapuram;1200;1000.0;Cement;695581.0
79;Ernakulam;1500;1010.0;Cement;682020.0
85;Thiruvananthapuram;1200;1600.0;Cement;695582.0
96;Ernakulam;1200;200.0;Cement;683104.0
116;Thiruvananthapuram;2500;32.0;Cement;695582.0
150;Kozhikode;10000;1000.0;Cement;673616.0
159;Thiruvananthapuram;40000;3000.0;Cement;695005.0
160;Ernakulam;100000;10000.0;Cement;682311.0
168;Thiruvananthapuram;1500;600.0;Cement;695581.0
204;Kozhikode;17000;1054552.0;Cement;673004.0
215;Thiruvananthapuram;30000;3000.0;Cement;695013.0
233;Ernakulam;10000;1500.0;Cement;682020.0
301;Thiruvananthapuram;3000;5000.0;Cement;695014.0
311;Thiruvananthapuram;30000;800.0;Cement;695014.0
322;Thrissur;1200;120.0;Cement;680102.0
323;Kozhikode;3000;500.0;Cement;673612.0
326;Thiruvananthapuram;1200;1000.0;Cement;695001.0
354;Thiruvananthapuram;3200;10.0;Cement;695584.0
393;Ernakulam;12000;10000.0;Cement;682020.0
401;Thiruvananthapuram;2500;20.0;Cement;695582.0
423;Ernakulam;30000;20000.0;Cement;682025.0
443;Thiruvananthapuram;2000;1200.0;Cement;695607.0
459;Kozhikode;15000;100.0;Cement;673631.0
478;Thiruvananthapuram;20000;11000.0;Cement;695013.0
532;Pathanamthitta;2350;550.0;Cement;689544.0
536;Thiruvananthapuram;55234;23456.0;Cement;695582.0
541;Thiruvananthapuram;2500;6.0;Cement;695607.0
545;Kollam;1500;600.0;Cement;691310.0
550;Kollam;1600;600.0;Cement;691310.0
574;Thiruvananthapuram;1500;10000.0;Cement;695011.0
587;Kozhikode;20000;14678.0;Cement;673001.0
592;Kozhikode;18000;18648.0;Cement;673001.0
593;Kozhikode;10000;9000.0;Cement;673001.0
599;Kozhikode;25000;40000.0;Cement;673001.0
604;Kozhikode;9000;12600.0;Cement;673001.0
608;Kannur;10000;2250.0;Cement;670307.0
610;Ernakulam;2000;5000.0;Cement;682306.0
612;Kozhikode;100000;1100.0;Cement;673001.0
617;Thiruvananthapuram;2000;350.0;Cement;695582.0
623;Kannur;6000;3000.0;Cement;670307.0
640;Malappuram;58000;100.0;Cement;673636.0
645;Kozhikode;10000;100.0;Cement;673001.0
651;Kozhikode;2000;200.0;Cement;673004.0
653;Thiruvananthapuram;4000;4000.0;Cement;695006.0
658;Thiruvananthapuram;1800;1440.0;Cement;695003.0
662;Thiruvananthapuram;3000;7200.0;Cement;695025.0
672;Thiruvananthapuram;2500;6000.0;Cement;695043.0
676;Thiruvananthapuram;1500;3800.0;Cement;695582.0
677;Thiruvananthapuram;1500;3600.0;Cement;695010.0
682;Thiruvananthapuram;6000;5400.0;Cement;695011.0
690;Kollam;5000;12000.0;Cement;691506.0
695;Thiruvananthapuram;10000;16000.0;Cement;695010.0
699;Thiruvananthapuram;3000;7400.0;Cement;695582.0
700;Thiruvananthapuram;1600;2560.0;Cement;695581.0
704;Thiruvananthapuram;1500;2400.0;Cement;695522.0
705;Thiruvananthapuram;2000;3200.0;Cement;695016.0
724;Kozhikode;2000;600.0;Cement;673003.0
728;Ernakulam;4000;30000.0;Cement;682016.0
735;Kollam;4600;3700.0;Cement;691510.0
739;Alappuzha;20000;16000.0;Cement;688524.0
745;Thiruvananthapuram;900;200.0;Cement;695584.0
748;Thiruvananthapuram;5000;50000.0;Cement;695011.0
750;Ernakulam;15000;20000.0;Cement;682303.0
752;Thiruvananthapuram;2000;2000.0;Cement;695586.0
756;Pathanamthitta;2300;600.0;Cement;689544.0
759;Malappuram;15000;6000.0;Cement;676305.0
763;Ernakulam;3000;7200.0;Cement;682032.0
765;Ernakulam;18000;7200.0;Cement;682030.0
766;Ernakulam;75000;32001.0;Cement;682030.0
768;Ernakulam;45000;20000.0;Cement;682017.0
769;Ernakulam;190000;76000.0;Cement;682030.0
771;Thiruvananthapuram;2000;4000.0;Cement;695009.0
772;Thiruvananthapuram;2000;12000.0;Cement;695584.0
774;Thiruvananthapuram;1600;300.0;Cement;695588.0
796;Thrissur;1860;150.0;Cement;680631.0
798;Ernakulam;2000;8000.0;Cement;682034.0
799;Alappuzha;2000;2000.0;Cement;690104.0
803;Thiruvananthapuram;2000;900.0;Cement;695582.0
807;Ernakulam;30000;27000.0;Cement;683517.0
815;Ernakulam;3000;1200.0;Cement;682026.0
824;Thiruvananthapuram;4500;160.0;Cement;695582.0
827;Ernakulam;1500;1000.0;Cement;686668.0
829;Ernakulam;2000;1000.0;Cement;682024.0
838;Ernakulam;2000;420.0;Cement;683104.0
843;Kozhikode;5000;300.0;Cement;673012.0
845;Thiruvananthapuram;2000;2850.0;Cement;695004.0
850;Thiruvananthapuram;4000;343.0;Cement;695571.0
868;Kozhikode;17000;3700.0;Cement;673017.0
871;Ernakulam;2200;400.0;Cement;683546.0
881;Thiruvananthapuram;32000;60000.0;Cement;695007.0
893;Thiruvananthapuram;2000;3500.0;Cement;695582.0
903;Kozhikode;1500;11000.0;Cement;673603.0
905;Thiruvananthapuram;2500;1.0;Cement;695583.0
911;Ernakulam;1904;700.0;Cement;683562.0
919;Kozhikode;1500;1000.0;Cement;673602.0
926;Kozhikode;1500;1000.0;Cement;673001.0
929;Thiruvananthapuram;2000;10000.0;Cement;695582.0
932;Kozhikode;1000;100.0;Cement;673003.0
935;Kannur;2000;3300.0;Cement;670141.0
945;Kannur;3000;2000.0;Cement;670141.0
964;Ernakulam;100000;40000.0;Cement;682032.0
967;Thiruvananthapuram;2000;15000.0;Cement;695021.0
968;Ernakulam;2400;1000.0;Cement;682030.0
980;Ernakulam;45000;180000.0;Cement;682032.0
986;Kannur;2000;1000.0;Cement;670143.0
994;Kollam;1510;750.0;Cement;691506.0
999;Thiruvananthapuram;2000;2400.0;Cement;695043.0
1006;Thiruvananthapuram;2000;1600.0;Cement;695025.0
1018;Thiruvananthapuram;20000;1600.0;Cement;695010.0
1020;Kozhikode;2000;3000.0;Cement;673017.0
1022;Ernakulam;5000;2000.0;Cement;683511.0
1023;Malappuram;18000;10000.0;Cement;679322.0
1024;Malappuram;2000;20000.0;Cement;676303.0
1036;Thiruvananthapuram;5000;400.0;Cement;695043.0
1040;Thiruvananthapuram;5000;7500.0;Cement;695038.0
1054;Thiruvananthapuram;1000;500.0;Cement;695582.0
1061;Pathanamthitta;2000;22000.0;Cement;689647.0
1066;Kozhikode;100000;20000.0;Cement;673010.0
1070;Malappuram;2000;100.0;Cement;676121.0
1072;Palakkad;1150;225.0;Cement;679505.0
1080;Kannur;5000;3500.0;Cement;670307.0
1116;Malappuram;3000;1150.0;Cement;676121.0
1136;Kannur;2400;40.0;Cement;670521.0
1138;Ernakulam;2000;21000.0;Cement;682020.0
1146;Thiruvananthapuram;5000;2000.0;Cement;695029.0
1157;Thiruvananthapuram;5000;5.0;Cement;695010.0
1165;Kannur;2500;2000.0;Cement;670307.0
1173;Kannur;2500;500.0;Cement;670521.0
1176;Thrissur;50000;10000.0;Cement;680006.0
1198;Kannur;2500;15000.0;Cement;670521.0
1207;Ernakulam;5000;5000.0;Cement;682024.0
1216;Thiruvananthapuram;1500;1000.0;Cement;695582.0
1219;Thiruvananthapuram;15000;300.0;Cement;695017.0
1228;Kannur;100000;28000.0;Cement;670141.0
1230;Ernakulam;15000;90000.0;Cement;682020.0
1232;Malappuram;4500;100.0;Cement;676122.0
1236;Kozhikode;1000;1.0;Cement;673001.0
1239;Thiruvananthapuram;1500;10000.0;Cement;695582.0
1244;Kozhikode;8500;3400.0;Cement;673571.0
1247;Malappuram;800;1000.0;Cement;676303.0
1256;Thiruvananthapuram;120000;1500.0;Cement;695003.0
1258;Kozhikode;200000;5000.0;Cement;673017.0
1261;Kozhikode;5000;10000.0;Cement;673017.0
1263;Kannur;2000;1200.0;Cement;670142.0
1265;Kannur;1800;6000.0;Cement;670141.0
1269;Ernakulam;150000;800.0;Cement;683511.0
1271;Ernakulam;150000;11000.0;Cement;682025.0
1280;Kannur;2000;2005.0;Cement;670307.0
1285;Kannur;3700;300.0;Cement;670142.0
