"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"1108";NULL;"Ekm_";"1500";"0.00";NULL;NULL;NULL;NULL
"1100";NULL;"test_1901";"1901";"0.00";NULL;NULL;NULL;"128.00"
"1101";NULL;"test_1234";"1234";"0.00";NULL;NULL;NULL;"30.00"
"1102";NULL;"test";"201";"0.00";NULL;NULL;NULL;"84.00"
"1103";NULL;"test_2001";"2001";"0.00";NULL;NULL;NULL;"37.00"
"1104";NULL;"test";"1080";"80000.00";NULL;NULL;NULL;"14.00"
"1105";NULL;"tvm";"3000";"0.00";NULL;NULL;NULL;"598.00"
"1106";NULL;"Ekm_";"1500";"0.00";NULL;NULL;NULL;"50.00"
"1107";NULL;"Ekm_";"1500";"0.00";NULL;NULL;NULL;"50.00"
"1109";NULL;"FDGJBNGJ";"390";"0.00";NULL;NULL;NULL;"541.00"
"1110";NULL;"ekm";"1500";"0.00";NULL;NULL;NULL;"53.00"
"1111";NULL;"ekm";"1500";"0.00";NULL;NULL;NULL;"53.00"
"1112";NULL;"tvm";"2000";"0.00";NULL;NULL;NULL;"23.00"
"1113";NULL;"Tvm";"1000";"0.00";NULL;NULL;NULL;"0.00"
"1114";NULL;"tvm";"4500";"0.00";NULL;NULL;NULL;"246.00"
"1115";NULL;"tvm";"4000";"0.00";NULL;NULL;NULL;"15.00"
"1116";NULL;"puthanthoppe";"2000";"0.00";NULL;NULL;NULL;"500.00"
"1117";NULL;"peyad";"2000";"0.00";NULL;NULL;NULL;"420.00"
"1118";NULL;"test_0109022017";"109022017";"0.00";NULL;NULL;NULL;"96.00"
"1119";NULL;"ullor";"2000";"0.00";NULL;NULL;NULL;"200.00"
"1120";NULL;"vette_road";"5000";"0.00";NULL;NULL;NULL;"454.00"
"1121";NULL;"tvm_test";"4700";"0.00";NULL;NULL;NULL;"255.00"
"1122";NULL;"tvm";"4600";"0.00";NULL;NULL;NULL;"19.00"
"1123";NULL;"Ekm";"1500";"0.00";NULL;NULL;NULL;"69.00"
"1124";NULL;"Electrical_Test";"1200";"0.00";NULL;NULL;NULL;"39.00"
"1125";NULL;"Kochi";"1200";"0.00";NULL;NULL;NULL;"20.00"
"1126";NULL;"tvm";"4200";"0.00";NULL;NULL;NULL;"28.00"
