PINCODE,DISTRICT,statename
678011,Palakkad,KERALA
670601,Kannur,KERALA
673647,Malappuram,KERALA
673634,Malappuram,KERALA
676522,Malappuram,KERALA
673638,Malappuram,KERALA
673641,Malappuram,KERALA
676122,Malappuram,KERALA
676521,Malappuram,KERALA
689551,Pathanamthitta,KERALA
689506,Alappuzha,KERALA
689106,Pathanamthitta,KERALA
689107,Pathanamthitta,KERALA
689571,Alappuzha,KERALA
689104,Pathanamthitta,KERALA
689572,Alappuzha,KERALA
689111,Pathanamthitta,KERALA
689109,Alappuzha,KERALA
689588,Pathanamthitta,KERALA
689581,Pathanamthitta,KERALA
689108,Pathanamthitta,KERALA
695035,Thiruvananthapuram,KERALA
680026,Thrissur,KERALA
678581,Palakkad,KERALA
678601,Palakkad,KERALA
679512,Palakkad,KERALA
679551,Palakkad,KERALA
679505,Palakkad,KERALA
679536,Palakkad,KERALA
679503,Palakkad,KERALA
679511,Palakkad,KERALA
679123,Palakkad,KERALA
679515,Palakkad,KERALA
678596,Palakkad,KERALA
679313,Palakkad,KERALA
678591,Palakkad,KERALA
679104,Palakkad,KERALA
678595,Palakkad,KERALA
679506,Palakkad,KERALA
678597,Palakkad,KERALA
678633,Palakkad,KERALA
679523,Palakkad,KERALA
679554,Palakkad,KERALA
679337,Palakkad,KERALA
679552,Palakkad,KERALA
679553,Palakkad,KERALA
679533,Palakkad,KERALA
679301,Palakkad,KERALA
679521,Palakkad,KERALA
678582,Palakkad,KERALA
678583,Palakkad,KERALA
679306,Palakkad,KERALA
679308,Palakkad,KERALA
679335,Palakkad,KERALA
679103,Palakkad,KERALA
679305,Palakkad,KERALA
679501,Palakkad,KERALA
679303,Palakkad,KERALA
678762,Palakkad,KERALA
679535,Palakkad,KERALA
679302,Palakkad,KERALA
678598,Palakkad,KERALA
678632,Palakkad,KERALA
679307,Palakkad,KERALA
679121,Palakkad,KERALA
679122,Palakkad,KERALA
679513,Palakkad,KERALA
678593,Palakkad,KERALA
679514,Palakkad,KERALA
679102,Palakkad,KERALA
679304,Palakkad,KERALA
679502,Palakkad,KERALA
679534,Palakkad,KERALA
679336,Palakkad,KERALA
679522,Palakkad,KERALA
679504,Palakkad,KERALA
679516,Palakkad,KERALA
679309,Palakkad,KERALA
682040,Ernakulam,KERALA
682041,Ernakulam,KERALA
670310,Kannur,KERALA
680121,Thrissur,KERALA
680664,Thrissur,KERALA
680307,Thrissur,KERALA
