pincode,area,subcat_name,SUM(ed.qty)
NULL,1901,NULL,128
NULL,1234,NULL,262
NULL,201,NULL,84
NULL,2001,NULL,37
NULL,1080,NULL,14
NULL,3000,NULL,598
NULL,1500,NULL,169
NULL,390,NULL,541
NULL,1500,NULL,106
NULL,2000,NULL,17744
NULL,4500,NULL,246
NULL,4000,NULL,15
NULL,109022017,NULL,96
NULL,5000,NULL,1804
NULL,4700,NULL,255
NULL,4600,NULL,19
NULL,1200,NULL,59
NULL,4200,NULL,28
NULL,2500,NULL,57157
695582,100,NULL,18
695582,100,Tiles-Vitrified,1
NULL,2000,NULL,100
NULL,6000,NULL,48420
NULL,2700,NULL,3385
NULL,127022017,NULL,2030
NULL,227022017,NULL,1960
NULL,4000,NULL,3620
695024,2200,Cement,100
695024,2200,NULL,450
NULL,3000,NULL,28810
NULL,1200,NULL,129
NULL,1000,NULL,3070
695551,2500,NULL,3110
NULL,1700,NULL,6503
NULL,1588,NULL,640
NULL,20,Faucets,1
NULL,20,,3
NULL,2000,NULL,93
NULL,2000,Fans,3
NULL,1600,NULL,1200
NULL,2500,NULL,50
NULL,2,NULL,1
NULL,7000,NULL,2
NULL,2400,NULL,1475
NULL,1500,NULL,1600
NULL,28000,WashBasinsandPedestals,100
NULL,28000,NULL,224000
NULL,28000,ElectricalWiresandcables,1
NULL,2500,NULL,1000
NULL,1500,NULL,47
NULL,200,NULL,200
NULL,2000,NULL,510
NULL,2000,ElectricalConsumables,1
NULL,200,NULL,10
NULL,2500,NULL,2456
NULL,2000,NULL,166
NULL,10,NULL,2
NULL,100,NULL,3500
NULL,2000,NULL,336
NULL,2000,NULL,170
NULL,1000,NULL,13
NULL,2500,ElectricalWiresandcables,96
NULL,2500,Switchgear,22
NULL,2500,Fans,1
NULL,2500,ElectricalConsumables,1
NULL,123,NULL,33
NULL,2500,,4428
NULL,16000,NULL,5600
NULL,12510,NULL,164
NULL,3000,NULL,39
695581,1200,RoofingSheets,2000
695581,1200,Tiles-Vitrified,1200
695581,1200,Faucets,120
695581,1200,Tiles-Ceramic,1000
695581,1200,Cement,1000
695581,1200,ElectricalWiresandcables,45
695581,1200,Steel,2500
695501,23456789,Switchgear,2
695501,23456789,Steel,1234
682020,1500,Cement,1010
682020,1500,NULL,10
695010,2000,ElectricalWiresandcables,21
695582,1200,KitchenSinks,2
695582,1200,Plywood,25
695582,1200,Valves,5
695582,1200,Cement,1600
695582,1200,Faucets,252
695582,1200,Steel,1500
695582,1200,PipeFittings,68
695582,1200,RoofingSheets,100
695582,1200,KitchenTaps,2
695581,7000,PVCandOtherPipes,1
695581,7000,ElectricalConsumables,1
695581,7000,Faucets,1
695581,7000,ElectricalConduits,300
683104,1200,ElectricalWiresandcables,12
683104,1200,Cement,200
683104,1200,Steel,1150
683104,1200,Switchgear,5
683104,1200,Tiles-Vitrified,1100
683104,1200,CoverPlatesandMountingFrames,20
683104,1200,Tiles-Outdoor,100
683104,1200,Boxes,12
683104,1200,NULL,10
NULL,2000,,4457
695582,2500,Faucets,7
695582,2500,Tiles-Ceramic,1
695582,2500,,31
695582,2500,Steel,1
695582,2500,Hob,1
695582,2500,ElectricalConduits,10
695582,2500,ElectricalConduitFittings,2
695582,2500,Fans,1
695582,2500,ElectricalWiresandcables,2
695582,2500,ElectricalConsumables,1
695582,2500,Lamps,1
695582,2500,Cement,32
695582,1200,Boxes,63
695582,1200,Switchgear,19
695582,1200,NULL,550
695582,1200,ElectricalWiresandcables,25
695582,1200,CoverPlatesandMountingFrames,81
695582,1200,,190
682020,2000,PVCandOtherPipes,75
682020,2000,PipeFittings,604
695017,2000,ElectricalWiresandcables,4
695581,1000,Mirrors,1
695581,1000,,110
695581,1000,Lamps,1
695581,1000,ElectricalWiresandcables,5
695581,1000,Faucets,1
695581,1000,Admixtures-Cement&Concrete,1
695581,5600,Faucets,4
695581,5600,Switchgear,1
695581,5600,Lamps,100
695581,5600,Tiles-Vitrified,1
695581,5600,ElectricalConduits,100
695581,5600,ElectricalConsumables,1
695581,5600,Boxes,20
695017,2000,ElectricalWiresandcables,4
695582,1200,ElectricalConduits,8
695582,2000,Lamps,100
695582,2000,ElectricalConduits,100
695582,2000,Boxes,25
695582,2000,ElectricalConsumables,1
NULL,5200,Cement,5
NULL,5200,Lamps,100
NULL,5200,ElectricalConduits,100
NULL,5200,,21
NULL,5200,WallTiles,14
673616,10000,Cement,1000
673616,10000,Steel,10000
673616,10000,SandandFineAggregates,5000
673616,10000,CoarseAggregatesandBoulders,6000
695017,2000,,151
695017,2000,Switchgear,2
695017,2000,Boxes,151
695017,2000,ElectricalWiresandcables,65
695017,2000,ElectricalConsumables,4
695005,40000,Cement,3000
682311,100000,Cement,10000
682311,100000,Steel,100000
683571,2000,WashBasinsandPedestals,5
683571,2000,Showers,4
683571,2000,Faucets,9
683571,2000,KitchenTaps,2
683571,2000,,14
695581,1500,WashBasinsandPedestals,2
